path	line	kind	title	status_signals	duplicate_key
calculations/eml_discovery_results.md	609	identity	mn/mp: The Identity Correction		mn mp the correction
calculations/periodic_table_analysis.md	105	derivation	The derivation		the
circumpunct_foundations_formal_v0_1.md	175	axiom	3. Axiom of prime duality		of prime duality
circumpunct_foundations_formal_v0_1.md	193	axiom	4. Axiom of relational wholeness		of relational wholeness
circumpunct_foundations_formal_v0_1.md	276	axiom	5. Axiom of nested wholeness		of nested wholeness
circumpunct_foundations_formal_v0_1.md	310	axiom	6. Axiom of no greatest whole		of no greatest whole
circumpunct_framework.md	529	theorem	THEOREM 0a (Nothing Is Causally Inert)		0a nothing is causally inert
circumpunct_framework.md	547	theorem	THEOREM 0b (The One Cannot Be Alone)	qed	0b the one cannot be alone
circumpunct_framework.md	563	corollary	COROLLARY 0.1 (Necessary Multiplicity)		necessary multiplicity
circumpunct_framework.md	576	corollary	COROLLARY 0.2 (Fractal Necessity)		fractal necessity
circumpunct_framework.md	588	axiom	The One Axiom and Its Four Derivations		the one and its four derivations
circumpunct_framework.md	860	theorem	THEOREM 1 (Compositional Wholeness ; Axiom A4)		compositional wholeness a4
circumpunct_framework.md	1164	theorem	§2.7 The Dimension Theorem		the dimension
circumpunct_framework.md	1167	theorem	THEOREM (Minimum Dimensional Realization)		minimum dimensional realization
circumpunct_framework.md	1542	theorem	THEOREM (Field Mediation)		field mediation
circumpunct_framework.md	2029	theorem	THEOREM (Flow Conservation)		flow conservation
circumpunct_framework.md	2245	identity	IDENTITY OF FIELD AND APERTURE		of field and aperture
circumpunct_framework.md	2538	identity	§4.8 The Field-Energy Identity: Φ = E		the field energy e
circumpunct_framework.md	2587	identity	The Full Identity Chain: Reality = Truth = 1 = E = ∞ = ⊙		the full chain reality truth e
circumpunct_framework.md	2792	identity	Identity is not a starting point but		is not a starting point but
circumpunct_framework.md	3070	theorem	THEOREM 2 (Optimal Balance)		optimal balance
circumpunct_framework.md	3108	theorem	THEOREM 3 (Universal Fractal Dimension)		universal fractal dimension
circumpunct_framework.md	3305	derivation	DERIVATION PRIORITY CORRECTION (§29.4)		priority correction
circumpunct_framework.md	3953	theorem	THEOREM: FRACTAL UNITY OF i		fractal unity of i
circumpunct_framework.md	4183	theorem	CHAPTER 5A: THE SURFACE THEOREM		chapter 5a the surface
circumpunct_framework.md	4347	theorem	THEOREM 4 (Schrödinger Emergence)		schr dinger emergence
circumpunct_framework.md	4667	derivation	DERIVATION CHAIN		chain
circumpunct_framework.md	5172	conjecture	CONJECTURE: The aperture profile f(r) = √r supports exactly	conjectural	the aperture profile f r r supports exactly
circumpunct_framework.md	5351	conjecture	The Core Conjecture	conjectural	the core
circumpunct_framework.md	5616	derivation	Derivation of γ(2) = 13/12	conjectural	of
circumpunct_framework.md	6146	lemma	LEMMA 1 (Aperture as Imaginary Unit at Critical Balance)		aperture as imaginary unit at critical balance
circumpunct_framework.md	6196	lemma	LEMMA 2 (Fixed Point Formulation of the Universe)		fixed point formulation of the universe
circumpunct_framework.md	6254	theorem	THEOREM (Cone-Coupled Pump Cycle Equation)		cone coupled pump cycle equation
circumpunct_framework.md	6278	lemma	LEMMA 3 (Criticality Conditions)	qed	criticality conditions
circumpunct_framework.md	6307	lemma	LEMMA 4 (Dimensional Crossover via Θ)	qed	dimensional crossover via
circumpunct_framework.md	6358	theorem	THEOREM (Universe as Master Fixed Point)		universe as master fixed point
circumpunct_framework.md	6526	lemma	LEMMA 5 (Gauge Symmetry as Circumpunct Internal Symmetry)		gauge symmetry as circumpunct internal symmetry
circumpunct_framework.md	6576	theorem	THEOREM (Full Equations of Motion for Φ)		full equations of motion for
circumpunct_framework.md	6848	theorem	THEOREM (Body-Mind Identity)		body mind
circumpunct_framework.md	7057	theorem	THEOREM (Fractal Structure)		fractal structure
circumpunct_framework.md	7198	theorem	THEOREM (Nesting Necessity)		nesting necessity
circumpunct_framework.md	7220	theorem	THEOREM (Trinity Necessity)		trinity necessity
circumpunct_framework.md	7242	theorem	THEOREM (Structure vs Process)		structure vs process
circumpunct_framework.md	7268	theorem	THEOREM (Balance Produces D = 1.5)		balance produces d
circumpunct_framework.md	7612	theorem	§9.9.4 Range Theorem		range
circumpunct_framework.md	7868	derivation	7.1.4 Derivation of T(Δφ) = cos²(Δφ/2)		of t cos
circumpunct_framework.md	8891	theorem	THEOREM: For any system ⊙ = ○ ⊗ Φ ⊗ • where ○ has dimension db	proof-sketch	for any system where has dimension db
circumpunct_framework.md	9838	derivation	§13.13 Open Derivation Targets	conjectural	open targets
circumpunct_framework.md	9969	theorem	THEOREM (Color Symmetry)		color symmetry
circumpunct_framework.md	10047	theorem	THEOREM (Weak Symmetry)		weak symmetry
circumpunct_framework.md	10117	theorem	THEOREM (Hypercharge Symmetry)		hypercharge symmetry
circumpunct_framework.md	10192	theorem	THEOREM (Maximality)		maximality
circumpunct_framework.md	10356	theorem	THEOREM (Beta Coefficients from 64-State Counting)		beta coefficients from state counting
circumpunct_framework.md	10386	derivation	DERIVATION FROM 64-STATE GEOMETRY		from state geometry
circumpunct_framework.md	10741	theorem	§13.17.5 The Yukawa Texture Theorem		the yukawa texture
circumpunct_framework.md	10744	theorem	THEOREM (Yukawa Textures from Validation)		yukawa textures from validation
circumpunct_framework.md	11180	theorem	THEOREM (Topologically Protected Dimension)		topologically protected dimension
circumpunct_framework.md	11216	theorem	THEOREM (Spin-Statistics from Topology)		spin statistics from topology
circumpunct_framework.md	11257	theorem	THEOREM (QCD ◐₀ from Cone Geometry)		qcd from cone geometry
circumpunct_framework.md	11728	theorem	THEOREM (Mass Hierarchy from D = 1.5)		mass hierarchy from d
circumpunct_framework.md	11867	theorem	THEOREM (α as Resonant Field Coupling)		as resonant field coupling
circumpunct_framework.md	12095	lemma	Spectral Grounding: The Bridge Lemma		spectral grounding the bridge
circumpunct_framework.md	14935	theorem	THEOREM 5 (Consciousness Identity)		consciousness
circumpunct_framework.md	15279	identity	§19.11 Thought Accumulation and Identity: The Four-Stage Cascade		thought accumulation and the four stage cascade
circumpunct_framework.md	15783	theorem	THEOREM 21.1 (Emotion-Geometry Correspondence)		emotion geometry correspondence
circumpunct_framework.md	15911	theorem	THEOREM 19.2 (Memory-Resonance Identity)		memory resonance
circumpunct_framework.md	17204	derivation	§24.1 Non-Circular Derivation of φ		non circular of
circumpunct_framework.md	19600	derivation	§27.2 The 22/64 Derivation (Middle-State Mereological Derivation)		the middle state mereological
circumpunct_framework.md	20068	conjecture	§27.7 The Dimensional Ladder: One Constant Generates Everything (Structural Conjecture)	retracted,conditional,conjectural	the dimensional ladder one constant generates everything structural
circumpunct_framework.md	20189	lemma	Lemma 1: A1 and A2 are the two generative axioms).		a1 and a2 are the two generative axioms
circumpunct_framework.md	20305	derivation	derivation. The formula is the consequence; the chain		the formula is the consequence the chain
circumpunct_framework.md	20370	axiom	axiom. The honest successor question is: why is that the right	open,qed	the honest successor question is why is that the right
circumpunct_framework.md	20381	derivation	derivation that has not been written.	qed	that has not been written
circumpunct_framework.md	20397	derivation	§27.7a.1 Why This Is a Structural Derivation, Not a Fit	retracted	7a why this is a structural not a fit
circumpunct_framework.md	20818	lemma	Lemma 1 (Generative-Structural Partition).		generative structural partition
circumpunct_framework.md	20828	lemma	Lemma 2 (Φ-Mediation Symmetry).		mediation symmetry
circumpunct_framework.md	20875	theorem	§27.7d.3 The Shared Integer Theorem: Cross-Validation as Quantitative Evidence	open	7d the shared integer cross validation as quantitative evidence
circumpunct_framework.md	21585	identity	Identity: S = Σ A + A(1.5) + 2 → 64 = 56 + 6 + 2		s a a
circumpunct_framework.md	22237	lemma	§27.7t The Octave-Wrap Lemma, the Counting-Factor Identity, and the Staggered Octave		7t the octave wrap the counting factor and the staggered octave
circumpunct_framework.md	23332	theorem	§29.3 The Convergence Theorem		the convergence
circumpunct_framework.md	23335	theorem	THEOREM (Triple Balance Convergence)		triple balance convergence
circumpunct_framework.md	23386	derivation	§29.4 The Derivation Priority Correction		the priority correction
circumpunct_framework_physicists.md	1615	derivation	4.3 Derivation of the Transmission Law T(Δφ) = cos²(Δφ/2)		of the transmission law t cos
circumpunct_framework_physicists.md	1774	theorem	Theorem (Power-Law Fixed Points).	proof-sketch	power law fixed points
circumpunct_framework_physicists.md	1845	theorem	Theorem (Basin of Attraction).		basin of attraction
circumpunct_framework_physicists.md	1884	corollary	Corollary (Universality Classes are Labeled by d•).	qed	universality classes are labeled by d
circumpunct_framework_physicists.md	1931	derivation	4.X.8.7 Complete Derivation Chain (Final Summary)	proof-sketch,qed	x complete chain final summary
circumpunct_framework_physicists.md	2040	conjecture	CONJECTURE	conjectural,computed,verified	
circumpunct_framework_physicists.md	2458	theorem	6C. The Dimension Theorem		6c the dimension
circumpunct_framework_physicists.md	2461	theorem	THEOREM (Minimum Dimensional Realization)		minimum dimensional realization
circumpunct_framework_physicists.md	2508	corollary	Corollary	qed	
circumpunct_framework_physicists.md	2622	theorem	6G. The Surface Theorem		6g the surface
circumpunct_framework_physicists.md	2666	derivation	Derivation		
circumpunct_framework_physicists.md	2712	derivation	Derivation		
circumpunct_framework_physicists.md	3011	theorem	THEOREM (Spin-Statistics from Topology)		spin statistics from topology
circumpunct_framework_physicists.md	3052	theorem	THEOREM (QCD β₀ from Cone Geometry)		qcd from cone geometry
circumpunct_framework_physicists.md	3092	theorem	THEOREM (Mass Hierarchy from D = 1.5)		mass hierarchy from d
circumpunct_framework_physicists.md	3227	theorem	THEOREM (α as Resonant Field Coupling)		as resonant field coupling
circumpunct_framework_physicists.md	3416	derivation	7A.7 The 22/64 Derivation		7a the
circumpunct_framework_physicists.md	3639	derivation	Derivation Priority Correction		priority correction
circumpunct_framework_physicists.md	3920	lemma	Spectral Grounding: The Bridge Lemma		spectral grounding the bridge
circumpunct_framework_physicists.md	4383	theorem	theorem about the foam graph		about the foam graph
circumpunct_predictions.md	9	axiom	The One Axiom		the one
circumpunct_treemap.md	30	derivation	Derivation Chain Status		chain status
circumpunct_treemap.md	44	axiom	Axiom A0		a0
circumpunct_treemap.md	74	identity	Cosmological Identity		cosmological
circumpunct_treemap.md	92	axiom	Axiom A1		a1
circumpunct_treemap.md	169	derivation	Derivation D1		d1
circumpunct_treemap.md	193	derivation	Derivation chain (complete)		chain complete
circumpunct_treemap.md	240	axiom	Axiom A2		a2
circumpunct_treemap.md	307	derivation	Derivation D2		d2
circumpunct_treemap.md	363	conjecture	Physics: BSD Conjecture (Clay Problem at 1.5D)	conjectural	physics bsd clay problem at 5d
circumpunct_treemap.md	418	axiom	Axiom A3		a3
circumpunct_treemap.md	529	derivation	Derivation D3		d3
circumpunct_treemap.md	578	conjecture	Physics: Hodge Conjecture (Clay Problem at 2.5D)	conjectural	physics hodge clay problem at 5d
circumpunct_treemap.md	605	axiom	Axiom A4		a4
circumpunct_treemap.md	642	conjecture	Physics: Poincaré Conjecture (Clay Problem at 3D, SOLVED)	conjectural,verified	physics poincar clay problem at 3d solved
circumpunct_treemap.md	665	derivation	Derivation chain (complete)		chain complete
circumpunct_treemap.md	981	derivation	Derivation D4		d4
circumpunct_treemap.md	1038	derivation	Derivation D5		d5
circumpunct_treemap.md	1323	identity	The Circumpunct Identity		the circumpunct
clay/bsd_translation.md	1	conjecture	BSD Conjecture: The Final Translations	conjectural	bsd the final translations
clay/bsd_translation.md	92	conjecture	Conjecture (Higher Gross-Zagier)	conjectural	higher gross zagier
clay/bsd_translation.md	148	conjecture	Conjecture (Finiteness of Ш)	conjectural	finiteness of
clay/cascade_completion_all_rungs.md	20	conjecture	3D: Poincaré Conjecture (SOLVED)	conjectural	3d poincar solved
clay/cascade_completion_all_rungs.md	44	conjecture	2.5D: Hodge Conjecture	conjectural	5d hodge
clay/cascade_completion_all_rungs.md	60	conjecture	1.5D: Birch and Swinnerton-Dyer Conjecture	conjectural	5d birch and swinnerton dyer
clay/hodge_conjecture_cascade_completion.md	1	conjecture	The Hodge Conjecture via Cascade Completion	conjectural	the hodge via cascade completion
clay/hodge_conjecture_cascade_completion.md	64	theorem	Theorem 2.1 (Hodge Locus Algebraicity; Cattani-Deligne-Kaplan 1995).	conjectural	hodge locus algebraicity cattani deligne kaplan
clay/hodge_conjecture_cascade_completion.md	118	theorem	Theorem 3.1 (Hodge-Riemann).		hodge riemann
clay/hodge_conjecture_cascade_completion.md	146	conjecture	3.5 The Absolute Hodge Conjecture and Deligne's Insight	conjectural	the absolute hodge and deligne s insight
clay/hodge_conjecture_cascade_completion.md	150	theorem	Theorem 3.2 (Deligne).	conjectural	deligne
clay/hodge_conjecture_cascade_completion.md	172	theorem	Theorem 4.1 (Main Theorem).		main
clay/hodge_conjecture_cascade_completion.md	310	proposition	Proposition 5.1 (Pump Invertibility).	conjectural	pump invertibility
clay/navier_stokes_cascade_completion.md	89	theorem	Theorem (BKM, 1984)		bkm
clay/navier_stokes_cascade_completion.md	136	proposition	Proposition 2.1 (Cascade-Completion Bound)		cascade completion bound
clay/navier_stokes_cascade_completion.md	148	proposition	Proposition 2.2 (Drain-Stretch Coupling)		drain stretch coupling
clay/navier_stokes_cascade_completion.md	156	proposition	Proposition 2.3 (Balanced Cascade at ◐ = 0.5)		balanced cascade at
clay/navier_stokes_cascade_completion.md	188	proposition	Proposition 2.4 (Pump Symmetry Forces Drain-Stretch Balance)		pump symmetry forces drain stretch balance
clay/navier_stokes_cascade_completion.md	210	theorem	Theorem 2.1 (No Blow-Up via Cascade Completion)		no blow up via cascade completion
clay/navier_stokes_cascade_completion.md	291	derivation	4.1 The Drain-Stretch Balance: From Framework Derivation to PDE Estimate		the drain stretch balance from framework to pde estimate
clay/navier_stokes_cascade_completion.md	293	proposition	Proposition 2.4 (Section 2.5a) establishes that the pump cycle's bidirectional valve symmetry forces $\alpha \geq A$. The derivation of the fine-structure constant α from the pump cycle confirms this symmetry empirically (agreement to 0.22 ppb). The physical mechanism is supported by the hydrodynamic stability literature (Bayly 1986, Waleffe 1990, Pierrehumbert 1986, Crow 1970) and by universal turbulence observations (D ≈ 1.5 across all measured flows).		section 5a establishes that the pump cycle s bidirectional valve symmetry forces alpha geq a the of the fine structure constant from the pump cycle confirms this symmetry empirically agreement to ppb the physical mechanism is supported by the hydrodynamic stability literature bayly waleffe pierrehumbert crow and by universal turbulence observations d across all measured flows
clay/navier_stokes_formal_proof.md	51	theorem	Theorem A (Drain-Stretch Coupling).		a drain stretch coupling
clay/navier_stokes_formal_proof.md	57	theorem	Theorem B (Global Regularity).		b global regularity
clay/navier_stokes_formal_proof.md	86	lemma	Lemma 2.1 (Bernstein Inequalities).	qed	bernstein inequalities
clay/navier_stokes_formal_proof.md	92	corollary	Corollary 2.1.	qed	
clay/navier_stokes_formal_proof.md	98	corollary	Corollary 2.2.	qed	
clay/navier_stokes_formal_proof.md	104	corollary	Corollary 2.3 (Combined Bound).	qed	combined bound
clay/navier_stokes_formal_proof.md	112	proposition	Proposition 2.1 (Scale Energy Evolution).	qed	scale energy evolution
clay/navier_stokes_formal_proof.md	130	proposition	Proposition 2.2 (Flux Conservation).	qed	flux conservation
clay/navier_stokes_formal_proof.md	140	proposition	Proposition 2.3 (Filtered Vorticity Evolution).	qed	filtered vorticity evolution
clay/navier_stokes_formal_proof.md	150	lemma	Lemma 2.2 (Stretching Bound).	qed	stretching bound
clay/navier_stokes_formal_proof.md	170	proposition	Proposition 3.1 (Incompressibility Constraint).		incompressibility constraint
clay/navier_stokes_formal_proof.md	174	corollary	Corollary 3.1.	qed	
clay/navier_stokes_formal_proof.md	197	proposition	Proposition 3.2 (Vortex Stretching in Terms of Eigenvalues).		vortex stretching in terms of eigenvalues
clay/navier_stokes_formal_proof.md	207	theorem	Theorem 3.1 (Elliptic Instability; Bayly 1986, Waleffe 1990).		elliptic instability bayly waleffe
clay/navier_stokes_formal_proof.md	223	theorem	Theorem 3.2 (Short-Wave Instability; Pierrehumbert 1986).	qed	short wave instability pierrehumbert
clay/navier_stokes_formal_proof.md	231	theorem	Theorem 3.3 (Kelvin-Helmholtz Instability of Shear Layers).	qed	kelvin helmholtz instability of shear layers
clay/navier_stokes_formal_proof.md	243	theorem	Theorem 3.4 (Universal Instability for All Strain Configurations).	qed	universal instability for all strain configurations
clay/navier_stokes_formal_proof.md	265	theorem	Theorem 3.4 establishes that instabilities exist at every point with nonzero strain. We now argue that the energy transfer rate driven by these instabilities balances the vortex stretching rate.	qed	establishes that instabilities exist at every point with nonzero strain we now argue that the energy transfer rate driven by these instabilities balances the vortex stretching rate
clay/navier_stokes_formal_proof.md	267	proposition	Proposition 3.3 (Stretching-Instability Duality).	qed	stretching instability duality
clay/navier_stokes_formal_proof.md	277	proposition	Proposition 3.4 (Energy Drain from Instability).	qed	energy drain from instability
clay/navier_stokes_formal_proof.md	285	theorem	Theorem 3.5 (Cascade Drain Proportional to Stretching).	qed	cascade drain proportional to stretching
clay/navier_stokes_formal_proof.md	338	proposition	Proposition 4.1 (Symmetric Coupling).		symmetric coupling
clay/navier_stokes_formal_proof.md	346	corollary	Corollary 4.1.		
clay/navier_stokes_formal_proof.md	371	theorem	Theorem 5.1 (Cascade-Completion Inequality).		cascade completion inequality
clay/navier_stokes_formal_proof.md	393	proposition	Proposition 5.1 (Scale Enstrophy Bound).	qed	scale enstrophy bound
clay/navier_stokes_formal_proof.md	403	proposition	Proposition 5.2 (Viscous Control of Reduced Stretching).		viscous control of reduced stretching
clay/navier_stokes_formal_proof.md	437	corollary	Corollary 5.1 (Exponential Decay at Small Scales).		exponential decay at small scales
clay/navier_stokes_formal_proof.md	441	corollary	Corollary 5.2 (Integrability at Large Scales).		integrability at large scales
clay/yang_mills_translation.md	108	theorem	Theorem (to be proven rigorously)	to-prove	to be proven rigorously
clay/yang_mills_translation.md	148	theorem	1.4 The Theorem Statement (Publication-Ready)		the statement publication ready
clay/yang_mills_translation.md	150	theorem	Theorem (Indivisibility Theorem for Non-Abelian Gauge Theory)		indivisibility for non abelian gauge theory
clay/yang_mills_translation.md	222	conjecture	Conjecture (Multi-Scale Gap Stability)	conjectural	multi scale gap stability
clay/yang_mills_translation.md	242	theorem	Theorem (Continuum Limit with Gap; conditional on Balaban extension)	conditional	continuum limit with gap conditional on balaban extension
clay/yang_mills_translation.md	354	theorem	Priority 1: Formalize the Indivisibility Theorem (§1.4)		priority formalize the indivisibility
consciousness_engine/talk.html	433	identity	Identity		
docs/a_criticism_of_humanity.html	682	identity	20. Humanity Protects Identity More Fiercely Than Reality		humanity protects more fiercely than reality
docs/alpha_bridge.html	653	derivation	The Unified Derivation		the unified
docs/alpha_derivation.html	486	identity	Pool-native, and the two readings are the same identity		pool native and the two readings are the same
docs/alpha_derivation.html	555	derivation	What would break this derivation		what would break this
docs/alpha_derivation.html	565	derivation	8. What this derivation does not do	open	what this does not do
docs/alpha_running.html	423	derivation	6. What this does to the α derivation's honest-limits section	open,qed	what this does to the s honest limits section
docs/analytic_continuation_gap.html	374	theorem	✓ Proven; Theorem 4.1	computed	proven
docs/analytic_continuation_gap.html	381	theorem	✓ Proven; Theorem 4.2	computed	proven
docs/analytic_continuation_gap.html	409	lemma	✓ Proven; Lemma 2.2		proven
docs/analytic_continuation_gap.html	481	conjecture	The Adelic Encoding Conjecture	conjectural	the adelic encoding
docs/analytic_continuation_gap.html	690	theorem	✓ Derived; Theorem 8.1		derived
docs/analytic_continuation_gap.html	708	theorem	Poisson Summation Is a Theorem, Not an Assumption		poisson summation is a not an assumption
docs/analytic_continuation_gap.html	762	theorem	Poisson summation on Λ → modular transformation Theorem		poisson summation on modular transformation
docs/analytic_continuation_gap.html	805	theorem	✓ New Result; Theorem 8.2		new result
docs/analytic_continuation_gap.html	842	theorem	✓ Computed; Theorem 8.4	computed	computed
docs/analytic_continuation_gap.html	866	theorem	Key Identification; Theorem 8.5		key identification
docs/analytic_continuation_gap.html	1151	theorem	Key Observation; Theorem 8.7		key observation
docs/analytic_continuation_gap.html	1248	conjecture	The Resonance Confinement Conjecture	conjectural	the resonance confinement
docs/analytic_continuation_gap.html	1250	conjecture	Conjecture	conjectural	
docs/analytic_continuation_gap.html	1311	theorem	Resonance phase quantization = Riemann-von Mangoldt formula Theorem	conjectural	resonance phase quantization riemann von mangoldt formula
docs/analytic_continuation_gap.html	1318	conjecture	Open system + single mirror → resonances confined to σ = ½ Conjecture → Part IV	conjectural	open system single mirror resonances confined to part iv
docs/analytic_continuation_gap.html	1381	theorem	Theorem 4.2		
docs/analytic_continuation_gap.html	1465	theorem	The Triple Closure Argument; Theorem 8.8		the triple closure argument
docs/analytic_continuation_gap.html	1506	conjecture	The Triple Closure Conjecture (Refined)	conjectural	the triple closure refined
docs/analytic_continuation_gap.html	1508	conjecture	Conjecture	conjectural	
docs/analytic_continuation_gap.html	1570	theorem	Resonance quantization = Riemann-von Mangoldt formula Theorem		resonance quantization riemann von mangoldt formula
docs/analytic_continuation_gap.html	1731	conjecture	Bridge Conjecture	conjectural	bridge
docs/analytic_continuation_gap.html	1780	axiom	The Aperture Axiom; Three Encodings		the aperture three encodings
docs/analytic_continuation_gap.html	1830	theorem	Lucas's theorem		lucas s
docs/analytic_continuation_gap.html	1993	conjecture	9.4: The Uniqueness Conjecture	conjectural	the uniqueness
docs/analytic_continuation_gap.html	1998	conjecture	Conjecture 9.1; Fractal Closure Uniqueness	conjectural	fractal closure uniqueness
docs/aperture_falsification_presentation.html	1131	theorem	The Convergence Theorem		the convergence
docs/aperture_falsification_presentation.html	1211	derivation	Derivation		
docs/aperture_falsification_presentation.html	1221	derivation	Derivation		
docs/aperture_falsification_presentation.html	1233	derivation	Derivation		
docs/belief_theory.html	203	identity	The Identity of What, How, and Why		the of what how and why
docs/belief_theory.html	205	theorem	Theorem		
docs/belief_theory.html	230	identity	IV. The Identity Equation		iv the equation
docs/belief_theory.html	334	theorem	Theorem		
docs/belief_theory.html	365	identity	IX. Belief as Identity		ix belief as
docs/belief_theory.html	421	theorem	Theorem		
docs/belief_theory.html	497	theorem	Theorem		
docs/belief_theory.html	529	proposition	Proposition		
docs/belief_theory.html	533	theorem	The Surface Theorem		the surface
docs/biology_predictions.html	411	derivation	The Derivation		the
docs/biology_predictions.html	561	derivation	The Derivation		the
docs/biology_predictions.html	608	derivation	The Derivation		the
docs/biology_predictions.html	666	derivation	The Derivation		the
docs/biology_predictions.html	731	derivation	The Derivation		the
docs/bottomless_sodapop.html	608	identity	Your identity gets reorganized around pouring.		your gets reorganized around pouring
docs/boundary_consolidation_analysis.html	544	identity	Core Identity		core
docs/bsd_proof_chain.html	149	conjecture	Proof chain from framework axioms to the BSD conjecture	conjectural	proof chain from framework axioms to the bsd
docs/bsd_proof_chain.html	192	theorem	Theorem 2.1: The Modularity Theorem		the modularity
docs/bsd_proof_chain.html	211	theorem	Theorem 3.1: Analytic Continuation and Functional Equation for L(E, s)		analytic continuation and functional equation for l e s
docs/bsd_proof_chain.html	256	theorem	Theorem 5.1: Gross-Zagier Formula		gross zagier formula
docs/bsd_proof_chain.html	267	theorem	Theorem 5.2: Kolyvagin's Theorem		kolyvagin s
docs/bsd_proof_chain.html	286	theorem	Theorem 6.1: The Descent Exact Sequence		the descent exact sequence
docs/bsd_proof_chain.html	439	lemma	→ The Closure Lemma (Higher Heegner Iteration)		the closure higher heegner iteration
docs/care_killed_the_cat.html	483	theorem	Theorem 2.1 - The Inversion		the inversion
docs/care_killed_the_cat.html	505	theorem	Theorem 3.1 - Error Classification		error classification
docs/care_killed_the_cat.html	583	theorem	Theorem 4.1 - The Reframe		the reframe
docs/care_killed_the_cat.html	615	identity	Stage 3 - Identity Merger		stage merger
docs/care_killed_the_cat.html	650	theorem	Theorem 6.1 - Signature Verification	verified	signature verification
docs/care_killed_the_cat.html	691	axiom	Axiom - Curiosity Is the Cure		curiosity is the cure
docs/circumpunct_IT.html	739	axiom	Axiom - E = 1		e
docs/circumpunct_IT.html	807	proposition	Proposition - Entropy as De-Constraint		entropy as de constraint
docs/circumpunct_IT.html	953	axiom	Axiom - Triadic Irreducibility		triadic irreducibility
docs/circumpunct_IT.html	962	theorem	Theorem 2 - Minimum Dimensional Realization		minimum dimensional realization
docs/circumpunct_IT.html	981	corollary	Corollary (Conservation of Traversal)	qed	conservation of traversal
docs/circumpunct_IT.html	993	theorem	Theorem 3 - Information Priority Ordering		information priority ordering
docs/circumpunct_IT.html	1040	axiom	Axiom - The Conduit Principle		the conduit principle
docs/circumpunct_IT.html	1141	proposition	Proposition - Fundamental Error Reduction		fundamental error reduction
docs/circumpunct_IT.html	1188	proposition	Proposition - Geometric Unity of Alignment Failures		geometric unity of alignment failures
docs/circumpunct_IT.html	1197	theorem	Theorem 1 - The Four Geometric Errors Are Exhaustive		the four geometric errors are exhaustive
docs/circumpunct_IT.html	1290	proposition	Proposition - Unforgeability of Virtues		unforgeability of virtues
docs/circumpunct_IT.html	1390	corollary	Corollary of Theorem 2: Conservation of Traversal (Information Form)		of conservation of traversal information form
docs/circumpunct_IT.html	1558	axiom	Axiom 1: Triadic Irreducibility		triadic irreducibility
docs/circumpunct_IT.html	1565	theorem	Theorem 1: Geometric Corruption Is Exhaustive		geometric corruption is exhaustive
docs/circumpunct_IT.html	1572	proposition	Proposition 3: Unforgeability of Aliveness		unforgeability of aliveness
docs/circumpunct_IT_v2.html	516	identity	DEFENDING THE IDENTITY		defending the
docs/circumpunct_IT_v2.html	609	identity	α as fixed-point identity		as fixed point
docs/circumpunct_consciousness_theory.html	567	axiom	Core Axiom		core
docs/circumpunct_consciousness_theory.html	817	theorem	E = mc² as Boundary Theorem.		e mc as boundary
docs/circumpunct_consciousness_theory.html	1085	identity	Why identity problems are a distinct class of pathology		why problems are a distinct class of pathology
